,Brand,Color,Storage,Rating,Screen_size,Battery,Price,Rating_cat,Price_cat
314,vivo,Sky,128,4.3,6.4,5000,17999,high,Affordable
315,vivo,Galaxy,128,4.3,6.4,5000,17999,high,Affordable
316,realme,Green,256,4.3,6.7,5000,24999,high,Average
317,Nothing,Grey,512,4.4,6.7,4700,54999,high,Costly
318,Nothing,Grey,128,4.5,6.7,4700,44999,high,Costly
319,Nothing,White,256,4.4,6.7,4700,49999,high,Costly
320,Nothing,Grey,256,4.4,6.7,4700,49999,high,Costly
321,APPLE,Black,128,4.6,6.1,5000,44999,high,Costly
322,OnePlus,Green,256,4.2,6.7,5000,35980,high,Costly
323,Mi,Black,128,4.2,6.6,4250,17499,high,Affordable
324,Google,Sea,128,4.0,6.1,4300,43999,low,Costly
325,Google,Charcoal,128,4.0,6.1,4300,43999,low,Costly
326,Google,Lemongrass,128,4.3,6.3,4270,49999,high,Costly
327,SAMSUNG,Lavender,128,4.2,6.5,4500,28240,high,Average
328,APPLE,White,128,4.6,6.1,5000,44999,high,Costly
329,vivo,Gold,64,4.3,6.5,5000,11999,high,Affordable
330,vivo,Blue,64,4.3,6.6,5000,14499,high,Affordable
331,MOTOROLA,White,256,4.3,6.7,4610,49999,high,Costly
332,vivo,Sky,128,4.4,6.4,5000,15999,high,Affordable
333,vivo,Engine,128,4.2,6.6,5000,19999,high,Average
334,Tecno,Blue,128,3.9,6.6,5000,10099,low,Affordable
335,vivo,Galaxy,128,4.5,6.4,5000,14499,high,Affordable
336,APPLE,Black,64,4.6,6.1,5000,40999,high,Costly
337,vivo,Engine,128,4.2,6.6,5000,17999,high,Affordable
338,Xiaomi,Black,256,4.2,6.7,4600,44999,high,Costly
339,Google,Snow,128,4.0,6.1,4300,43999,low,Costly
340,vivo,Black,256,4.4,6.8,4700,59890,high,Costly
341,OPPO,Orange,128,4.3,6.6,5000,16499,high,Affordable
342,SAMSUNG,Brown,128,4.2,6.6,6000,16990,high,Affordable
343,realme,Black,128,4.3,6.6,5000,12999,high,Affordable
344,SAMSUNG,Green,64,4.2,6.5,5000,10340,high,Affordable
345,APPLE,Starlight,128,4.7,6.7,5000,76999,high,Costly
346,Infinix,Black,256,4.0,6.8,5000,16999,low,Affordable
347,vivo,Shimmer,128,4.2,6.6,5000,19999,high,Average
348,Infinix,Snowfall,64,4.2,6.7,5000,14999,high,Affordable
349,SAMSUNG,Black,128,4.5,6.6,4500,49999,high,Costly
350,OPPO,Blue,64,4.5,6.6,5000,10099,high,Affordable
351,OnePlus,Shadow,128,4.4,6.7,4500,28999,high,Average
352,Infinix,Blue,256,4.2,6.7,5000,16999,high,Affordable
353,Xiaomi,Dazzle,128,4.2,6.6,4250,22899,high,Average
354,SAMSUNG,Lavender,128,4.0,6.5,4500,27589,low,Average
355,SAMSUNG,Violet,128,4.2,6.6,5000,30999,high,Costly
356,realme,Black,64,4.2,6.7,5000,11622,high,Affordable
357,MOTOROLA,Blue,128,4.1,6.4,5000,12999,low,Affordable
358,realme,Black,64,4.5,6.5,5000,13499,high,Affordable
359,realme,Blue,64,4.4,6.5,6000,11499,high,Affordable
360,MOTOROLA,Grey,128,4.3,6.6,4400,34999,high,Costly
361,OPPO,Black,256,4.3,6.7,5000,24490,high,Average
362,APPLE,Midnight,128,4.7,6.7,5000,76999,high,Costly
363,REDMI,Black,128,4.2,6.7,6000,12799,high,Affordable
364,OPPO,Black,128,4.3,6.6,5000,16499,high,Affordable
365,REDMI,Green,64,4.2,6.6,5000,14290,high,Affordable
367,SAMSUNG,Graphite,128,4.3,6.4,4500,39999,high,Costly
368,vivo,Blue,128,4.3,6.6,4830,28480,high,Average
369,SAMSUNG,Green,64,4.2,6.6,6000,10897,high,Affordable
370,Infinix,Black,128,4.1,6.8,5000,14999,low,Affordable
371,vivo,Black,128,4.3,6.4,4500,25490,high,Average
372,Infinix,Black,64,4.2,6.7,5000,14999,high,Affordable
374,realme,White,256,4.4,6.6,5000,28999,high,Average
375,APPLE,Midnight,256,4.6,6.1,5000,78999,high,Costly
376,vivo,Black,256,4.4,6.4,4500,25999,high,Average
377,vivo,Gold,256,4.4,6.4,4500,25999,high,Average
378,Tecno,White,128,4.2,6.6,5000,13999,high,Affordable
379,SAMSUNG,Silver,64,3.9,6.6,5000,13999,low,Affordable
380,SAMSUNG,Black,64,3.9,6.6,5000,13999,low,Affordable
381,OnePlus,Silver,256,4.5,6.7,5000,44600,high,Costly
382,IQOO,Night,128,4.3,6.7,5000,15999,high,Affordable
383,OnePlus,Black,256,4.5,6.7,5000,61900,high,Costly
384,vivo,Black,128,4.4,6.4,4700,23999,high,Average
385,SAMSUNG,Green,128,4.3,6.4,4500,39999,high,Costly
386,Tecno,Blue,128,4.3,6.6,5000,11699,high,Affordable
387,OnePlus,Green,256,4.5,6.7,5000,61879,high,Costly
388,OnePlus,Black,256,4.5,6.7,5000,61900,high,Costly
389,OnePlus,Green,128,4.4,6.7,5000,53990,high,Costly
390,SAMSUNG,Black,64,4.2,6.5,5000,12499,high,Affordable
391,realme,White,64,4.5,6.4,4000,16930,high,Affordable
392,SAMSUNG,Violet,128,4.2,6.4,5000,38999,high,Costly
393,Google,Snow,128,4.4,6.7,4926,70999,high,Costly
394,Google,Obsidian,128,4.4,6.7,4926,70999,high,Costly
395,SAMSUNG,Green,256,4.3,6.8,5000,85999,high,Costly
396,SAMSUNG,Black,128,4.0,6.6,5000,17999,low,Affordable
397,vivo,Blue,64,4.3,6.6,5000,14499,high,Affordable
398,vivo,Waves,128,4.3,6.4,4050,19990,high,Average
399,vivo,Black,128,4.4,6.6,5000,16999,high,Affordable
400,MOTOROLA,Blue,64,3.8,6.5,5000,11099,low,Affordable
401,APPLE,Midnight,256,4.6,6.1,5000,78999,high,Costly
402,SAMSUNG,Violet,256,4.2,6.6,5000,32999,high,Costly
403,OPPO,Purple,256,4.3,6.7,4700,54999,high,Costly
404,vivo,Blue,128,4.4,6.6,5000,15499,high,Affordable
405,APPLE,Midnight,128,4.7,6.7,5000,76999,high,Costly
407,vivo,Gold,128,4.3,6.5,5000,16999,high,Affordable
408,SAMSUNG,Blue,64,4.2,6.6,6000,10975,high,Affordable
409,REDMI,White,128,4.2,6.4,5000,17400,high,Affordable
410,REDMI,Blue,128,4.3,6.7,5020,14990,high,Affordable
411,IQOO,Green,64,4.2,6.7,5000,14290,high,Affordable
412,Google,Snow,128,4.4,6.7,4926,70999,high,Costly
413,APPLE,Blue,128,4.7,6.7,5000,76999,high,Costly
414,Google,Obsidian,128,4.4,6.7,4926,70999,high,Costly
415,MOTOROLA,Gold,128,4.3,6.6,4400,34999,high,Costly
417,OnePlus,Fog,128,4.4,6.7,4500,27999,high,Average
418,SAMSUNG,Blue,128,4.2,6.5,5000,14400,high,Affordable
419,OPPO,Grey,256,4.4,6.7,4700,54999,high,Costly
420,IQOO,Blue,128,4.4,6.4,4500,19230,high,Average
421,Tecno,Black,128,3.9,6.6,5000,10299,low,Affordable
422,vivo,Dawn,128,4.4,6.4,5000,17279,high,Affordable
423,vivo,Shadow,128,4.3,6.4,4050,19990,high,Average
424,REDMI,Black,128,4.0,6.5,5000,10390,low,Affordable
425,vivo,Shimmer,128,4.2,6.6,5000,17999,high,Affordable
426,IQOO,Night,64,4.2,6.7,5000,14990,high,Affordable
427,REDMI,Blue,128,4.1,6.4,5000,15485,low,Affordable
428,realme,Blue,128,4.5,6.4,4000,19925,high,Average
429,Tecno,Blue,128,4.6,6.6,5000,11699,high,Affordable
430,Mi,Black,128,4.2,6.6,4250,21999,high,Average
431,SAMSUNG,Black,64,4.2,6.5,5000,12499,high,Affordable
432,IQOO,Blue,128,4.3,6.4,4500,20230,high,Average
433,Mi,White,128,4.2,6.7,4520,22499,high,Average
434,realme,Blue,128,4.4,6.5,6000,12999,high,Affordable
435,realme,Glow,128,4.3,6.6,5000,17999,high,Affordable
436,Google,Hazel,128,4.4,6.7,4926,70999,high,Costly
437,REDMI,Black,128,4.1,6.7,5000,10929,low,Affordable
438,Infinix,Noir,256,4.1,6.8,4500,29999,low,Average
439,Redmi,Black,64,4.2,6.5,5000,10290,high,Affordable
440,vivo,Black,128,4.3,6.6,4830,35999,high,Costly
441,vivo,Blue,128,4.3,6.6,4830,29545,high,Average
442,Xiaomi,Dazzle,128,4.2,6.6,4250,22899,high,Average
443,OnePlus,Green,256,3.3,6.6,4500,32990,low,Costly
444,Tecno,Blue,128,3.9,6.6,5000,10099,low,Affordable
445,Xiaomi,Blue,128,4.2,6.6,4250,22800,high,Average
446,Infinix,Green,64,4.3,7.0,5000,13999,high,Affordable
447,Xiaomi,Coral,128,4.2,6.6,4250,20990,high,Average
448,Xiaomi,Dazzle,128,4.2,6.6,4250,20990,high,Average
449,REDMI,Purple,64,4.4,6.4,5000,16999,high,Affordable
450,Redmi,Orange,64,4.2,6.5,5000,10280,high,Affordable
451,SAMSUNG,White,128,4.3,6.4,4500,39999,high,Costly
452,SAMSUNG,Green,64,4.1,6.5,5000,13499,low,Affordable
453,IQOO,Green,128,4.2,6.7,5000,14990,high,Affordable
454,SAMSUNG,Black,128,4.0,6.5,5000,11450,low,Affordable
455,APPLE,Yellow,256,4.6,6.1,5000,78999,high,Costly
456,vivo,Blue,256,4.3,6.6,4830,36890,high,Costly
457,MOTOROLA,Lily,128,4.1,6.6,5000,21499,low,Average
458,APPLE,Midnight,128,4.7,6.7,5000,76999,high,Costly
459,OnePlus,Green,256,4.2,6.7,5000,35980,high,Costly
460,REDMI,Black,128,4.2,6.4,5000,15980,high,Affordable
461,REDMI,White,128,4.1,6.4,5000,20999,low,Average
462,SAMSUNG,Blue,128,4.1,6.5,5000,10380,low,Affordable
463,OPPO,Blue,64,4.5,6.6,5000,10099,high,Affordable
464,SAMSUNG,Red,128,4.0,6.6,5000,17999,low,Affordable
465,realme,Blue,64,4.5,6.6,5000,11999,high,Affordable
466,REDMI,White,128,4.2,6.4,5000,17400,high,Affordable
467,vivo,Blue,128,4.3,6.4,4500,23999,high,Average
468,realme,Blue,128,4.4,6.5,6000,11599,high,Affordable
469,REDMI,Black,64,4.1,6.4,5000,14990,low,Affordable
470,SAMSUNG,Black,64,3.9,6.6,5000,13999,low,Affordable
471,REDMI,Gold,128,4.1,6.7,5000,15999,low,Affordable
472,MOTOROLA,Blue,128,4.1,6.4,5000,12999,low,Affordable
473,SAMSUNG,Green,128,4.2,6.6,6000,17315,high,Affordable
474,realme,Blue,128,4.5,6.6,5000,14499,high,Affordable
475,vivo,Green,128,5.0,6.6,5000,14999,high,Affordable
476,Tecno,White,128,4.2,6.6,5000,13999,high,Affordable
477,REDMI,Blue,64,4.2,6.7,5000,12599,high,Affordable
478,OnePlus,Blue,128,4.3,6.7,5000,30749,high,Costly
479,REDMI,White,128,4.3,6.7,5020,14890,high,Affordable
480,OnePlus,Odyssey,256,4.5,6.7,5000,63990,high,Costly
481,OnePlus,Gray,256,4.0,6.7,5000,37675,low,Costly
482,OnePlus,Green,256,4.0,6.7,5000,37814,low,Costly
483,REDMI,Blue,128,4.2,6.4,5000,16180,high,Affordable
484,SAMSUNG,Blue,64,4.2,6.6,6000,10988,high,Affordable
485,realme,Black,64,4.5,6.6,5000,11499,high,Affordable
486,Infinix,Noir,256,4.1,6.8,4500,29999,low,Average
488,vivo,Blue,128,4.3,6.4,4500,23999,high,Average
489,SAMSUNG,Red,128,4.0,6.6,5000,17999,low,Affordable
490,realme,Black,256,4.4,6.6,5000,28999,high,Average
491,Tecno,Blue,128,4.2,6.7,5000,19200,high,Average
492,POCO,Blue,128,4.2,6.6,5000,18999,high,Average
493,SAMSUNG,Green,64,4.1,6.5,5000,13499,low,Affordable
494,Tecno,White,64,4.3,6.6,5000,11967,high,Affordable
495,OnePlus,Blue,128,4.3,6.7,5000,29999,high,Average
496,APPLE,Yellow,256,4.6,6.1,5000,78999,high,Costly
497,SAMSUNG,Green,128,4.2,6.6,5000,15999,high,Affordable
498,OnePlus,Black,256,4.5,6.7,5000,44778,high,Costly
499,realme,Glow,128,4.3,6.6,5000,17999,high,Affordable
500,Tecno,Black,64,4.3,6.6,5000,12898,high,Affordable
501,vivo,Gold,128,4.3,6.4,4500,23999,high,Average
502,APPLE,Starlight,256,4.6,6.1,5000,78999,high,Costly
503,REDMI,Black,128,4.1,6.4,5000,16999,low,Affordable
504,SAMSUNG,Black,512,4.5,6.6,4700,104999,high,Costly
505,OPPO,Black,64,4.4,6.6,5000,13999,high,Affordable
506,SAMSUNG,Graphite,256,4.2,6.4,5000,40999,high,Costly
507,MOTOROLA,Lily,128,4.1,6.6,5000,21499,low,Average
508,Tecno,Blue,128,4.6,6.6,5000,10901,high,Affordable
509,Tecno,Black,128,4.6,6.6,5000,11499,high,Affordable
510,SAMSUNG,Black,128,4.1,6.6,5000,19999,low,Average
511,SAMSUNG,Lime,256,4.2,6.6,5000,32999,high,Costly
512,vivo,Green,128,5.0,6.6,5000,14999,high,Affordable
513,REDMI,Blue,128,4.2,6.4,5000,14200,high,Affordable
514,APPLE,Midnight,256,4.6,6.1,5000,78999,high,Costly
515,Nokia,Mint,64,3.7,6.5,5000,10399,low,Affordable
516,OnePlus,Shadow,128,4.4,6.7,4500,28900,high,Average
517,SAMSUNG,Graphite,256,4.2,6.6,5000,32999,high,Costly
518,vivo,Blue,64,4.2,6.5,5000,11799,high,Affordable
519,IQOO,Blue,128,4.4,6.4,4500,19339,high,Average
520,vivo,Gold,128,4.4,6.6,5000,16999,high,Affordable
521,realme,Black,128,4.4,6.6,5000,17999,high,Affordable
522,realme,Black,64,4.3,6.5,5000,10499,high,Affordable
524,vivo,Black,128,4.3,6.6,5000,19990,high,Average
526,REDMI,Red,128,4.3,6.5,6000,12990,high,Affordable
527,REDMI,Silver,64,3.7,6.6,5000,12500,low,Affordable
528,POCO,Yellow,64,4.3,6.4,5000,14999,high,Affordable
529,vivo,Blue,128,4.4,6.6,5000,14999,high,Affordable
530,SAMSUNG,Blue,128,4.2,6.6,5000,15999,high,Affordable
531,OPPO,Gold,256,4.3,6.7,5000,24400,high,Average
532,vivo,Blue,128,4.4,6.6,5000,15499,high,Affordable
533,REDMI,Blue,64,4.2,6.7,5000,12599,high,Affordable
534,Infinix,Blue,128,4.2,6.8,5000,19999,high,Average
535,Nothing,Black,128,4.4,6.6,4500,28999,high,Average
536,Nothing,White,256,4.4,6.6,4500,30999,high,Costly
537,Nothing,Black,256,4.4,6.6,4500,29999,high,Average
538,Infinix,Grey,128,4.3,7.0,5000,15999,high,Affordable
539,SAMSUNG,Black,128,4.0,6.5,5000,11450,low,Affordable
540,Tecno,Sunset,256,4.2,6.7,4700,21999,high,Average
541,Tecno,White,128,4.1,6.8,5000,13429,low,Affordable
542,SAMSUNG,Cream,512,4.5,6.6,4700,104999,high,Costly
543,APPLE,Purple,64,4.6,6.1,5000,53999,high,Costly
544,realme,Blue,128,4.5,6.6,5000,13499,high,Affordable
545,OnePlus,Blue,128,4.3,6.7,5000,31890,high,Costly
546,Infinix,Green,128,4.0,6.6,5000,12999,low,Affordable
547,vivo,Blue,256,4.4,6.8,4600,42999,high,Costly
548,SAMSUNG,Peach,128,4.2,6.6,5000,16499,high,Affordable
549,OPPO,Orange,128,4.0,6.4,4500,21999,low,Average
550,APPLE,Blue,64,4.6,6.1,5000,53999,high,Costly
551,Tecno,Blue,128,4.2,6.8,5000,14479,high,Affordable
552,REDMI,Black,64,4.2,6.4,5000,12949,high,Affordable
553,REDMI,Blue,64,4.2,6.4,5000,13197,high,Affordable
554,SAMSUNG,Black,128,4.5,6.6,4500,49999,high,Costly
555,SAMSUNG,Green,64,4.2,6.5,5000,12499,high,Affordable
556,OPPO,Orange,128,4.3,6.4,4500,20999,high,Average
557,REDMI,Silver,128,4.2,6.6,5000,14999,high,Affordable
558,REDMI,Green,128,4.2,6.6,5000,14999,high,Affordable
559,Tecno,Black,128,4.3,6.6,5000,11499,high,Affordable
560,Infinix,Green,128,4.0,6.6,5000,12999,low,Affordable
561,vivo,Black,64,4.3,6.5,5000,14999,high,Affordable
562,REDMI,White,64,4.2,6.4,5000,12899,high,Affordable
563,Tecno,Blue,128,4.6,6.6,5000,10901,high,Affordable
564,OPPO,Blue,64,4.5,6.6,5000,10200,high,Affordable
565,vivo,Dazzle,128,4.3,6.4,4000,27990,high,Average
566,Nokia,Mint,64,3.7,6.5,5000,10399,low,Affordable
567,OPPO,Blue,256,4.2,6.4,4500,29980,high,Average
568,OPPO,Blue,64,4.2,6.6,5000,15499,high,Affordable
569,Tecno,Grey,256,3.6,6.8,5160,36999,low,Costly
570,SAMSUNG,Cream,256,4.5,6.6,4700,94999,high,Costly
571,SAMSUNG,Green,128,4.0,6.7,5000,34949,low,Costly
572,APPLE,Blue,256,4.7,6.1,5000,69999,high,Costly
573,realme,Black,64,4.2,6.7,5000,11490,high,Affordable
574,POCO,Yellow,128,4.2,6.6,5000,18999,high,Average
575,APPLE,Gold,128,4.7,6.7,5000,127999,high,Costly
576,vivo,Blue,128,4.3,6.4,4000,27990,high,Average
577,OPPO,Green,64,4.4,6.6,5000,13999,high,Affordable
578,vivo,Blue,256,4.4,6.8,4600,42999,high,Costly
579,vivo,Black,128,4.4,6.4,4000,17990,high,Affordable
580,REDMI,Black,128,4.2,6.6,5080,20999,high,Average
581,SAMSUNG,Mint,128,4.2,6.5,4500,27395,high,Average
582,Tecno,Sunset,256,4.2,6.7,4700,21999,high,Average
583,REDMI,Purple,64,4.3,6.4,5000,13699,high,Affordable
584,OPPO,Gold,128,4.3,6.7,4800,29999,high,Average
585,SAMSUNG,Black,256,4.3,6.8,5000,87800,high,Costly
586,REDMI,Blue,64,4.4,6.5,5020,11480,high,Affordable
587,OPPO,Black,128,4.3,6.7,4800,29999,high,Average
588,vivo,Blue,128,4.3,6.6,4830,28480,high,Average
590,REDMI,Green,128,4.2,6.7,5000,10189,high,Affordable
591,MOTOROLA,Gray,64,4.2,6.5,5000,10999,high,Affordable
592,realme,Blue,128,4.5,6.6,5000,13499,high,Affordable
593,REDMI,White,64,4.3,6.6,5000,14999,high,Affordable
594,SAMSUNG,Silver,256,4.1,6.7,6000,29999,low,Average
595,REDMI,White,64,4.4,6.4,5000,14999,high,Affordable
596,SAMSUNG,Blue,128,4.2,6.6,5000,16999,high,Affordable
597,OnePlus,Shadow,128,4.4,6.7,4500,28498,high,Average
598,realme,Silver,128,4.4,6.4,5000,15499,high,Affordable
599,realme,Black,128,4.4,6.4,5000,15499,high,Affordable
600,SAMSUNG,Black,128,4.2,6.5,5000,14690,high,Affordable
601,OPPO,Gold,256,4.3,6.7,5000,24400,high,Average
602,SAMSUNG,Brown,64,4.1,6.5,5000,14999,low,Affordable
603,realme,Black,128,4.2,6.6,4500,29999,high,Average
604,realme,Black,256,4.4,6.4,4500,25999,high,Average
605,vivo,Black,256,4.4,6.8,4600,39999,high,Costly
606,REDMI,White,128,4.2,6.5,6000,14999,high,Affordable
607,POCO,Blue,128,4.3,6.4,5000,16499,high,Affordable
608,MOTOROLA,White,128,4.2,6.6,5000,13999,high,Affordable
609,SAMSUNG,Black,128,4.3,6.7,3300,49999,high,Costly
610,realme,Black,128,4.4,6.4,5000,13499,high,Affordable
611,vivo,Black,128,4.3,6.4,4500,25799,high,Average
612,Tecno,Silver,64,4.2,6.9,7000,10644,high,Affordable
613,REDMI,Green,128,4.2,6.6,5000,14999,high,Affordable
614,REDMI,Silver,128,4.2,6.6,5000,14999,high,Affordable
615,Mi,Gold,64,4.2,6.0,3010,17499,high,Affordable
616,realme,Blue,64,4.5,6.5,5000,10999,high,Affordable
617,REDMI,Grey,128,4.0,6.5,5000,10999,low,Affordable
618,IQOO,Blue,256,4.4,6.8,5000,33900,high,Costly
619,vivo,Blue,64,4.3,6.5,5000,13980,high,Affordable
620,OnePlus,Black,256,4.5,6.7,5000,44778,high,Costly
621,SAMSUNG,Black,128,4.5,6.6,4500,49999,high,Costly
622,MOTOROLA,Silver,64,4.2,6.5,5000,10999,high,Affordable
623,vivo,Blue,256,4.4,6.8,4600,39999,high,Costly
624,APPLE,Silver,128,4.7,6.1,5000,120999,high,Costly
625,vivo,Black,128,4.3,6.4,4500,25390,high,Average
626,Xiaomi,Blue,128,4.2,6.6,4250,20990,high,Average
627,vivo,Blue,256,4.4,6.8,4810,59999,high,Costly
628,APPLE,Black,128,4.7,6.7,5000,127999,high,Costly
629,Infinix,Green,128,4.3,7.0,5000,15999,high,Affordable
630,REDMI,White,128,4.2,6.4,5000,18499,high,Average
